.id,trait,eigen_eQTL_candidate,min_eQTL_LOD,max_eQTL_LOD,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score
QTL9,UN_MEblue,Bra002115,2.7359766048183416,3.711006758768063,A10,11432805,11438126,AT5G17910.1,AT5G17910,NA,NA,77.849,1562,198,17,2640,4091,2026,503,0,1314
QTL9,UN_MEblue,Bra002114,2.7359766048183416,3.711006758768063,A10,11446617,11449308,AT4G08580.1,AT4G08580,NA,NA,84.174,1308,189,2,626,1915,1308,1,0,1433
QTL9,UN_MEblue,Bra002113,2.7359766048183416,3.711006758768063,A10,11449526,11450360,AT5G17870.1,AT5G17870,PSRP6,plastid-specific ribosomal protein 6 precursor (Psrp-6) - like,84.709,327,41,2,359,685,318,1,1e-99,363
QTL9,UN_MEblue,Bra002112,2.7359766048183416,3.711006758768063,A10,11454962,11457018,AT5G17860.1,AT5G17860,CAX7,NA,85.813,1734,219,3,114,1841,1,1713,0,2030
QTL9,UN_MEblue,Bra002110,2.7359766048183416,3.711006758768063,A10,11458910,11461015,AT5G17850.1,AT5G17850,NA,NA,81.091,1687,251,13,119,1744,1680,1,0,1608
QTL9,UN_MEblue,Bra002109,2.7359766048183416,3.711006758768063,A10,11462842,11464506,AT5G17830.1,AT5G17830,NA,NA,74.571,700,164,5,613,1305,816,124,1.59e-125,450
QTL9,UN_MEblue,Bra002108,2.7359766048183416,3.711006758768063,A10,11471778,11473917,AT5G17810.1,AT5G17810,WOX12,Encodes a WUSCHEL-related homeobox gene family member with 65 amino acids in its homeodomain. Proteins in this family contain a sequence of eight residues (TLPLFPMH) downstream of the homeodomain called the WUS box.,86.1,777,87,6,119,883,40,807,0,906
QTL9,UN_MEblue,Bra002107,2.7359766048183416,3.711006758768063,A10,11475494,11477796,AT5G17800.1,AT5G17800,AtMYB56;MYB56,Member of the R2R3 factor gene family.,80.317,1011,124,11,159,1133,972,1,0,944
QTL9,UN_MEblue,Bra002106,2.7359766048183416,3.711006758768063,A10,11483299,11485867,AT5G17790.1,AT5G17790,VAR3,Encodes a 85.9 kDa protein containing novel repeats and zinc fingers described as protein interaction domains.  VAR3 is a part of a protein complex required for normal chloroplast and palisade cell development.  Mutants display a variegated phenotype due to somatic areas lacking or containing developmentally retarded chloroplasts and greatly reduced numbers of palisade cells.,78.334,2317,296,22,1,2151,1,2277,0,2003
QTL9,UN_MEblue,Bra002105,2.7359766048183416,3.711006758768063,A10,11486152,11488251,AT5G17780.2,AT5G17780,NA,NA,82.24,1250,189,6,109,1328,11,1257,0,1256
QTL9,UN_MEblue,Bra002104,2.7359766048183416,3.711006758768063,A10,11488542,11490948,AT5G17770.1,AT5G17770,ATCBR;CBR;CBR1,"Encodes NADH:cytochrome (Cyt) b5 reductase that displayed strict specificity to NADH for the reduction of a recombinant Cyt b5 (AtB5-A), whereas no Cyt b5 reduction was observed when NADPH was used as the electron donor.",89.835,846,86,0,152,997,1,846,0,1139
QTL9,UN_MEblue,Bra002103,2.7359766048183416,3.711006758768063,A10,11492655,11494584,AT5G17760.1,AT5G17760,NA,NA,85.055,1539,206,4,145,1680,1,1518,0,1743
QTL9,UN_MEblue,Bra002102,2.7359766048183416,3.711006758768063,A10,11495162,11496741,AT5G17720.1,AT5G17720,NA,NA,84.966,1337,186,4,5,1338,1325,1,0,1501
QTL9,UN_MEblue,Bra002101,2.7359766048183416,3.711006758768063,A10,11512326,11514479,AT5G17710.2,AT5G17710,EMB1241,NA,86.28,984,108,3,56,1015,1,981,0,1177
QTL9,UN_MEblue,Bra040634,2.7359766048183416,3.711006758768063,A10,11574604,11576170,AT1G46264.1,AT1G46264,AT-HSFB4;HSFB4;SCZ,"Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions.",78.154,1062,145,17,213,1202,1,1047,0,872
QTL9,UN_MEblue,Bra040636,2.7359766048183416,3.711006758768063,A10,11592624,11594698,AT2G17750.1,AT2G17750,NIP1,Intrinsic thylakoid membrane  protein that fixes RPOTmp on the stromal side of the thylakoid  membrane.,74.329,1192,284,8,83,1269,15,1189,0,755
QTL9,UN_MEblue,Bra008561,2.7359766048183416,3.711006758768063,A10,11614219,11618389,AT5G17330.1,AT5G17330,GAD;GAD1,Encodes one of two isoforms of glutamate decarboxylase.,90.987,1509,136,0,150,1658,1509,1,0,2109
QTL9,UN_MEblue,Bra008562,2.7359766048183416,3.711006758768063,A10,11632168,11636969,AT1G34650.1,AT1G34650,HDG10,Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family.,75.91,2088,456,16,94,2165,67,2123,0,1469
QTL9,UN_MEblue,Bra008563,2.7359766048183416,3.711006758768063,A10,11640540,11642775,AT5G17300.1,AT5G17300,RVE1,Myb-like transcription factor that regulates hypocotyl growth by  regulating free auxin levels in a time-of-day specific manner.,82.572,1073,139,9,305,1347,83,1137,0,1095
QTL9,UN_MEblue,Bra008564,2.7359766048183416,3.711006758768063,A10,11643125,11645518,AT5G17290.1,AT5G17290,APG5;ATATG5;ATG5,"Autophagy protein ATG5. Forms a conjugate with ATG12 with an essential role in plant nutrient recycling. Mutants missing ATG5 display early senescence and are hypersensitive to nitrogen or carbon starvation, accompanied by a more rapid loss of organellar and cytoplasmic proteins.",85.968,1012,112,4,16,1006,10,1012,0,1195
QTL9,UN_MEblue,Bra008565,2.7359766048183416,3.711006758768063,A10,11645744,11646134,AT5G17280.1,AT5G17280,NA,NA,75.077,325,57,4,18,318,379,55,3.08e-58,224
